Product Name,Original Price,Discounted price,Discount(%),Rating
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,547,45,5
Daikin 1.5 Ton 5 Star Window AC  - White,"34,990","30,785",12,5
Crypo VE-36 with Holder Stand AC Remote Compatible LG R...,999,408,59,4.4
hybite DTH Remote Control - Old Remote Functions Must b...,399,185,53,5
Tata Sky Universal SD & HD Box Tata Sky DTH Remote Cont...,599,208,65,5
V-Guard Digi 200 Supreme TV Voltage Stabilizer for 178 ...,"4,890","4,030",17,4.4
Candes A4170MS 4kVA for 1.5 Ton AC ,"2,500","1,677",32,1
V-Guard VG 50 New Model Voltage Stabilizer,"1,600","1,485",7,1
VBEST Compatible with Sony RM-ANU156 SA-D10 SA-D100 SA-...,"1,100",269,75,4.1
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,397,60,5
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,5
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,397,60,4
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,397,60,3.9
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,4.3
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,4.1
Daikin 1 Ton 4 Star Split Inverter AC  - White,"44,500","33,999",23,4.3
V-Guard VGSD 50 Smart Electronic Voltage Stabilizer,"2,250","1,890",16,4.2
SINKUL TV REMOTE SMART TV REMOTE COMPATIBLE FOR SMART T...,999,349,65,4.1
VOLPRO Lcd / Led Tv / Smart TV Voltage Stablizer,"2,499","1,199",52,4
Dish TV ORIGINAL which comes with Setop box Dish Tv Set...,499,219,56,4.2
Tata Sky DTH ORIGINAL TATASKY Remote Controller,499,215,56,4.4
V-Guard Voltino Digi 2.25 A TV Stabilizer,"3,510","2,750",21,4
BLUECHIP BL43SmartTV TV Voltage Stabilizer for LED TV/S...,"2,850","1,230",56,4
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,545,45,3.8
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,547,45,3.8
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,545,45,4.4
astigo compatible remote for i Smart TV Mi Remote Contr...,499,268,46,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,3.9
Daikin 1 Ton 3 Star Split with PM 2.5 Filter AC with PM...,"38,000","28,990",23,4.3
Technology Ahead TA VIDEOCON LCD/LED TV REMOTE VIDEOCON...,999,249,75,4
BLUECHIP 100% Copper BL72SmartTV3.2Amp TV Voltage Stabi...,"3,999","1,531",61,4.2
Axelleindia Compatible Split & Window AC ,699,339,51,4.2
V-Guard MiniCrystal Electronic Voltage Stabilizer,"1,990","1,779",10,4.3
hybite 4A LCD LED Smart TV Remote Control Compatible fo...,500,275,45,3.9
BLUECHIP 100% Copper Voltage Stabillizer for Refrigerat...,"2,999","1,580",47,4.3
hybite Led Lcd Universal Remote Control For 3d Smart Le...,499,248,50,4
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,447,55,4.1
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,447,55,4.2
Crypo VE-36 with Holder Stand AC Remote Compatible LG R...,999,408,59,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,5
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,393,60,5
"SAMSUNG 1 Ton 3 Star Split Triple Inverter AC  - White,...","48,990","31,490",35,3.9
BLUECHIP BL55SmartTV2.1Amp TV Voltage Stabilizer for LE...,"2,999","1,335",55,5
LipiWorld RM-1180M -1,499,319,36,1
Airtel Airtel Universal Setup box Remote Digital Setup ...,499,194,61,4
Sun Direct remote latest Sun Direct Remote Controller,399,225,43,5
Candes A4170MS 4kVA for 1.5 Ton AC ,"2,500","1,677",32,5
"YKA SA-D10, SA-D100, SA-D40 Sony Home Theater System Re...",999,310,68,3.9
LipiWorld 41 AC Remote Compatible for  AC VOLTAS Remote...,799,419,47,4
Axxiria Axxiria 2 layer protection Waterproof-Dustproof...,999,449,55,1
V-Guard Nano Supreme Television Voltage Stabilizer,"2,000","1,600",20,3.8
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,5
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,1
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,347,65,4.2
V-Guard Mini Crystal Smart TV Voltage Stabilizer for 82...,"2,490","1,990",20,4
Gi-Shop GDRM-9011089-Watt Roti and Khakra Maker,"4,099","1,497",63,3.8
Technology Ahead TA  SANSUI LED/LCD TV REMOTE Remote Co...,999,299,70,4.1
V-Guard Magno 410 Voltage Stabilizer,"2,800","1,740",37,4.2
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,4
V-Guard iD4 Ace 5540 for 1.5 Ton Inverter A.C ,"6,400","4,499",29,4.3
V-Guard VGSD 50 Supreme Upto 300 Litre Voltage Stabiliz...,"1,790","1,750",2,4.3
V-Guard iD4 Prima 2040 for Inverter AC Up to 1.5 Ton ,"4,700","3,050",35,3.2
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,397,60,4.2
Axxiria Axxiria 2 layer protection Waterproof-Dustproof...,999,549,45,4.1
Daikin 0.8 Ton 3 Star Split AC  - White,"27,990","26,374",5,4.4
V-Guard iD4 Dura 2040 with Digital Display for 1.5 Ton ...,"4,800","3,050",36,4.4
Tata Sky Tatasky Old model DTH Compatible Setup box Rem...,699,210,69,4.3
SHIELDGUARD Smart TV Remote Motorola Remote Controller,799,599,25,4
LipiWorld In-Built D2H Set-Top Box Compatible For Sansu...,499,369,26,3.8
V-Guard Crystal Plus Supreme TV Voltage Stabilizer for ...,"3,590","2,960",17,4.2
V-Guard i4 Prima 2040 for 1.5 Ton Inverter A.C ,"4,300","2,750",36,4.2
Dish TV DISH-001 dish tv Remote Controller,599,209,65,3.8
Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  -...,"52,290","42,760",18,3.8
V-Guard V 400 Supreme for 1.5 Ton A.C ,"2,850","1,940",31,4.4
BLUECHIP BL43SmartTV TV Voltage Stabilizer for LED TV/S...,"2,850","1,230",56,4.3
Tata Sky TataSky New body remote Universal Genuine Remo...,599,214,64,3.8
Techfab 4A LED Smart TV Remote Control Compatible for S...,999,219,78,4.4
astigo compatible remote for i Smart TV Mi Remote Contr...,499,268,46,4.1
Airtel Airtel Universal Remote Universal Remote with ba...,402,209,48,4.2
LipiWorld AA59-00607A LED/LCD Remote Control Compatible...,499,277,44,4
Daikin 1.5 Ton 3 Star Split Inverter AC  - White,"52,500","37,384",28,3.8
V-Guard Voltino Voltage Stabilizer,"3,250","2,600",20,3.9
King Enterprise VIDEOCON D2H Set Top Box Remote videoco...,499,235,52,4.1
Daikin 1.8 Ton 3 Star Split Inverter with AG Ion Filter...,"64,600","36,515",43,4
hybite Compatible Remote Control For Set Top Box- Witho...,300,180,40,4.4
Candes Crystal 490 Voltage Stabilizer 4kVA for 1.5 Ton ...,"4,950","2,725",44,4.4
Sun Direct SUN DIRECT HD SET TOP BOX sun direct HD set ...,599,225,62,5
